ID	Title	备注	
1090	Highest Price in Supply Chain (25)	树的遍历	1
1091	Acute Stroke (30)	广度优先搜索BFS	0
1092	To Buy or Not to Buy (20)	Hash散列	1
1093	Count PAT’s (25)	逻辑题	1
1094	The Largest Generation (25)	BFS，DFS，树的遍历	1
1095	Cars on Campus (30)	map的用法，排序	1
1096	Consecutive Factors (20)	逻辑题	1
1097	Deduplication on a Linked List (25)	链表	1
1098	Insertion or Heap Sort (25)	heap sort（堆排序）	1
1099	Build A Binary Search Tree (30)	二叉查找树BST	-1
1100	Mars Numbers (20)	map映射，STL的使用	0
1101	Quick Sort (25)	快速排序	1
1102	Invert a Binary Tree (25)	树的遍历	1
1103	Integer Factorization (30)	深度优先搜索DFS	1
1104	Sum of Number Segments (20)	数学问题	1
1105	Spiral Matrix (25)	模拟	1
1106	Lowest Price in Supply Chain (25)	DFS，BFS，树的遍历	1
1107	Social Clusters (30)	并查集	0
1108	Finding Average (20)	字符串处理	0
1109	Group Photo (25)	逻辑题	0
1110	Complete Binary Tree (25)	完全二叉树	0
1111	Online Map (30)	Dijkstra算法 + DFS	0
1112	Stucked Keyboard (20)	map映射，STL的使用	0
1113	Integer Set Partition (25)	排序	0
1114	Family Property (25)	并查集	0
1115	Counting Nodes in a BST (30)	二叉树的遍历，DFS	0
1116	Come on! Let’s C (20)	简单逻辑题	0
1117	Eddington Number(25)	简单逻辑题	0
1118	Birds in Forest (25)	并查集	0
1119	Pre- and Post-order Traversals (30)	树的遍历，前序后序转中序	0
1120	Friend Numbers (20)	set的应用	0
1121	Damn Single (25)	set的应用	0
1122	Hamiltonian Cycle (25)	图论	0
1123	Is It a Complete AVL Tree (30)	AVL树	0
1124	Raffle for Weibo Followers (20)	map映射	0
1125	Chain the Ropes (25)	排序，贪心	0
1126	Eulerian Path (25)	连通图	0
1127	ZigZagging on a Tree (30)	中序后序建树，层序遍历	0
1128	N Queens Puzzle (20)	逻辑题	0
1129	Recommendation System (25)	set的应用，运算符重载	0
1130	Infix Expression (25)	dfs深度优先搜索	0
1131	Subway Map (30)	dfs深度优先搜索	0
1132	Cut Integer (20)	数学问题	1
1133	Splitting A Linked List (25)	链表	-1
1134	Vertex Cover (25)	hash散列	0
1135	Is It A Red-Black Tree (30)	红黑树	0
1136	A Delayed Palindrome (20)	水题	1
1137	Final Grading (25)	map映射，排序	1
1138	Postorder Traversal (25)	树的遍历，前序中序转后序	1
1139	First Contact (30)	水题	1
1140	Look-and-say Sequence (20)	字符串处理	1
1141	PAT Ranking of Institutions (25)	排序，map STL	1
1142	Maximal Clique (25)	图论，无向完全图	1
1143	Lowest Common Ancestor (30)	水题	1
1144	The Missing Number (20)	STL，map	1
1145	Hashing – Average Search Time (25)	哈希映射，哈希表，平方探测法	0
1146	Topological Order (25)	拓扑排序	1
1147	Heaps (30)	堆，树的遍历	1
1148	Werewolf – Simple Version (20)	水题	1
1149	Dangerous Goods Packaging (25)	STL的应用	1
1150	Travelling Salesman Problem (25)	图论	1
1151	LCA in a Binary Tree (30)	树的遍历，LCA算法	1
102/151		备注参考：柳婼<a href='https://www.liuchuo.net' target=_blank>www.liuchuo.net</a>
